08/04/21
clang-13 ./modexp-hacl-test.exe

nBits	 || ct-bm-mm	 || ct-bm-amm	 || ct-fw-mm	 || ct-fw-amm	 || bm-mm/fw-mm || bm-amm/fw-amm || bm-mm/bm-amm || fw-mm/fw-amm
16	 || 3768.45	 || 4143.66	 || 4057.42	 || 4192.71	 || 0.93 || 0.99 || 0.91 || 0.97
32	 || 6236.44	 || 7364.53	 || 5673.55	 || 6182.37	 || 1.10 || 1.19 || 0.85 || 0.92
64	 || 11175.68	 || 11915.02	 || 10981.38	 || 10506.61	 || 1.02 || 1.13 || 0.94 || 1.05
128	 || 31489.39	 || 30940.25	 || 23446.17	 || 24375.75	 || 1.34 || 1.27 || 1.02 || 0.96
256	 || 90826.49	 || 90264.39	 || 71187.88	 || 70200.58	 || 1.28 || 1.29 || 1.01 || 1.01
512	 || 384801.64	 || 390229.32	 || 279522.11	 || 276063.78	 || 1.38 || 1.41 || 0.99 || 1.01
1024	 || 2285096.73	 || 2301483.73	 || 1429363.90	 || 1428922.95	 || 1.60 || 1.61 || 0.99 || 1.00
2048	 || 20819120.03	 || 17206252.87	 || 10780750.77	 || 12404108.91	 || 1.93 || 1.39 || 1.21 || 0.87
4096	 || 132025689.25	 || 134221730.62	 || 82726051.28	 || 82189003.82	 || 1.60 || 1.63 || 0.98 || 1.01

nBits	 || vt-bm-mm	 || vt-bm-amm	 || vt-fw-mm	 || vt-fw-amm	 || bm-mm/fw-mm || bm-amm/fw-amm || bm-mm/bm-amm || fw-mm/fw-amm
16	 || 2942.54	 || 2943.26	 || 3388.02	 || 3569.20	 || 0.87 || 0.82 || 1.00 || 0.95
32	 || 6253.91	 || 5358.32	 || 5485.01	 || 6712.75	 || 1.14 || 0.80 || 1.17 || 0.82
64	 || 10212.08	 || 10354.53	 || 9580.62	 || 14063.19	 || 1.07 || 0.74 || 0.99 || 0.68
128	 || 27090.45	 || 28871.95	 || 22539.31	 || 23641.36	 || 1.20 || 1.22 || 0.94 || 0.95
256	 || 82250.14	 || 81477.60	 || 68332.17	 || 68140.76	 || 1.20 || 1.20 || 1.01 || 1.00
512	 || 323199.22	 || 320942.41	 || 274074.41	 || 271512.81	 || 1.18 || 1.18 || 1.01 || 1.01
1024	 || 1935762.62	 || 1939300.63	 || 1529055.82	 || 1489780.33	 || 1.27 || 1.30 || 1.00 || 1.03
2048	 || 13732506.64	 || 13961923.91	 || 10920288.76	 || 11158029.59	 || 1.26 || 1.25 || 0.98 || 0.98
4096	 || 98750257.50	 || 98775878.40	 || 80915835.50	 || 81597297.31	 || 1.22 || 1.21 || 1.00 || 0.99

nBits	 || l	 || ct-fw-mm	 || ct-fw-amm	 || fw-mm/fw-amm
64	 || 3	 || 10471.55	 || 11754.01	 || 0.89
64	 || 4	 || 11397.46	 || 11217.59	 || 1.02
64	 || 5	 || 12747.08	 || 12978.30	 || 0.98
64	 || 6	 || 16656.16	 || 16850.62	 || 0.99
64	 || 7	 || 24322.59	 || 24816.50	 || 0.98
128	 || 3	 || 27228.69	 || 26750.21	 || 1.02
128	 || 4	 || 31347.85	 || 27077.33	 || 1.16
128	 || 5	 || 30952.08	 || 30299.74	 || 1.02
128	 || 6	 || 36511.81	 || 37353.76	 || 0.98
128	 || 7	 || 51169.78	 || 50993.58	 || 1.00
256	 || 3	 || 79570.28	 || 77824.96	 || 1.02
256	 || 4	 || 82563.41	 || 78368.89	 || 1.05
256	 || 5	 || 89999.59	 || 88611.16	 || 1.02
256	 || 6	 || 103277.97	 || 100001.04	 || 1.03
256	 || 7	 || 130799.26	 || 130599.86	 || 1.00
512	 || 3	 || 313665.83	 || 302151.75	 || 1.04
512	 || 4	 || 308497.31	 || 299437.19	 || 1.03
512	 || 5	 || 329070.34	 || 313846.41	 || 1.05
512	 || 6	 || 370671.29	 || 358432.01	 || 1.03
512	 || 7	 || 452208.78	 || 437227.63	 || 1.03
1024	 || 3	 || 1638987.15	 || 1647035.32	 || 1.00
1024	 || 4	 || 1715544.89	 || 1786100.69	 || 0.96
1024	 || 5	 || 1657397.07	 || 1590521.82	 || 1.04
1024	 || 6	 || 1604347.79	 || 1607759.59	 || 1.00
1024	 || 7	 || 1694931.36	 || 1694511.69	 || 1.00
2048	 || 3	 || 12676929.73	 || 11993317.30	 || 1.06
2048	 || 4	 || 11318308.96	 || 10685147.97	 || 1.06
2048	 || 5	 || 10689238.15	 || 11122575.99	 || 0.96
2048	 || 6	 || 10529577.38	 || 11447370.98	 || 0.92
2048	 || 7	 || 10806654.98	 || 11469464.74	 || 0.94
4096	 || 3	 || 86752014.46	 || 88959241.77	 || 0.98
4096	 || 4	 || 81263456.40	 || 81919830.28	 || 0.99
4096	 || 5	 || 78494494.14	 || 78593738.95	 || 1.00
4096	 || 6	 || 77851740.15	 || 78973442.79	 || 0.99
4096	 || 7	 || 78706163.23	 || 79797180.08	 || 0.99

nBits	 || l	 || vt-fw-mm	 || vt-fw-amm	 || fw-mm/fw-amm
64	 || 3	 || 9478.08	 || 10068.29	 || 0.94
64	 || 4	 || 9609.70	 || 11412.37	 || 0.84
64	 || 5	 || 10480.43	 || 10927.03	 || 0.96
64	 || 6	 || 14439.90	 || 13971.78	 || 1.03
64	 || 7	 || 18766.55	 || 19302.91	 || 0.97
128	 || 3	 || 28650.16	 || 24988.47	 || 1.15
128	 || 4	 || 24679.58	 || 24512.28	 || 1.01
128	 || 5	 || 25003.82	 || 25887.30	 || 0.97
128	 || 6	 || 31011.77	 || 28691.01	 || 1.08
128	 || 7	 || 36850.81	 || 37081.38	 || 0.99
256	 || 3	 || 76224.23	 || 75853.74	 || 1.00
256	 || 4	 || 73907.75	 || 72216.33	 || 1.02
256	 || 5	 || 70973.15	 || 70560.26	 || 1.01
256	 || 6	 || 75052.32	 || 74289.29	 || 1.01
256	 || 7	 || 87550.57	 || 87745.32	 || 1.00
512	 || 3	 || 298328.28	 || 297783.38	 || 1.00
512	 || 4	 || 282506.65	 || 429402.14	 || 0.66
512	 || 5	 || 294021.24	 || 279623.57	 || 1.05
512	 || 6	 || 277884.78	 || 275852.32	 || 1.01
512	 || 7	 || 299466.04	 || 292777.59	 || 1.02
1024	 || 3	 || 1607694.41	 || 1626515.85	 || 0.99
1024	 || 4	 || 1495870.98	 || 1493272.72	 || 1.00
1024	 || 5	 || 1453240.56	 || 1559124.90	 || 0.93
1024	 || 6	 || 1566700.00	 || 1564138.78	 || 1.00
1024	 || 7	 || 1596278.37	 || 1569114.80	 || 1.02
2048	 || 3	 || 11744227.13	 || 12239138.58	 || 0.96
2048	 || 4	 || 11029844.99	 || 11333364.16	 || 0.97
2048	 || 5	 || 10743154.50	 || 10535674.79	 || 1.02
2048	 || 6	 || 10434716.12	 || 10125407.73	 || 1.03
2048	 || 7	 || 10643685.18	 || 10214458.95	 || 1.04
4096	 || 3	 || 89772154.56	 || 89265175.29	 || 1.01
4096	 || 4	 || 83935814.86	 || 83975650.40	 || 1.00
4096	 || 5	 || 76824171.99	 || 76421295.76	 || 1.01
4096	 || 6	 || 73043783.03	 || 74521113.24	 || 0.98
4096	 || 7	 || 73329988.66	 || 73574227.31	 || 1.00
