08/04/21

clang-13

./mul-hacl-test.exe

 nBits	 || l	 || hacl-mul
32	 ||2	 || 131.69
32	 ||4	 || 119.07
32	 ||6	 || 70.94
32	 ||8	 || 46.81
32	 ||10	 || 41.76
32	 ||12	 || 37.09
32	 ||14	 || 31.86
32	 ||16	 || 31.29
32	 ||18	 || 27.81
32	 ||20	 || 27.07
32	 ||22	 || 27.08
32	 ||24	 || 25.72
32	 ||26	 || 24.98
32	 ||28	 || 25.70
32	 ||30	 || 29.34
32	 ||32	 || 29.22
32	 ||34	 || 30.03
32	 ||36	 || 24.09

-----------------------------------------------------
64	 ||2	 || 24.35
64	 ||4	 || 24.44
64	 ||6	 || 23.88
64	 ||8	 || 24.42
64	 ||10	 || 23.68
64	 ||12	 || 25.76
64	 ||14	 || 25.73
64	 ||16	 || 30.51
64	 ||18	 || 24.83
64	 ||20	 || 24.16
64	 ||22	 || 23.42
64	 ||24	 || 24.51
64	 ||26	 || 23.42
64	 ||28	 || 24.17
64	 ||30	 || 23.42
64	 ||32	 || 23.42
64	 ||34	 || 25.16
64	 ||36	 || 24.39

-----------------------------------------------------
128	 ||2	 || 179.19
128	 ||4	 || 32.26
128	 ||6	 || 32.96
128	 ||8	 || 33.04
128	 ||10	 || 33.04
128	 ||12	 || 32.22
128	 ||14	 || 32.99
128	 ||16	 || 34.23
128	 ||18	 || 41.15
128	 ||20	 || 37.64
128	 ||22	 || 33.22
128	 ||24	 || 34.80
128	 ||26	 || 32.95
128	 ||28	 || 33.29
128	 ||30	 || 32.25
128	 ||32	 || 33.85
128	 ||34	 || 32.16
128	 ||36	 || 31.81

-----------------------------------------------------
256	 ||2	 || 572.98
256	 ||4	 || 224.55
256	 ||6	 || 51.82
256	 ||8	 || 65.50
256	 ||10	 || 66.85
256	 ||12	 || 57.01
256	 ||14	 || 53.95
256	 ||16	 || 52.83
256	 ||18	 || 52.68
256	 ||20	 || 58.72
256	 ||22	 || 54.70
256	 ||24	 || 53.99
256	 ||26	 || 53.03
256	 ||28	 || 54.52
256	 ||30	 || 53.50
256	 ||32	 || 52.84
256	 ||34	 || 58.76
256	 ||36	 || 70.25

-----------------------------------------------------
512	 ||2	 || 1863.39
512	 ||4	 || 731.51
512	 ||6	 || 307.79
512	 ||8	 || 293.88
512	 ||10	 || 184.19
512	 ||12	 || 187.64
512	 ||14	 || 186.94
512	 ||16	 || 152.06
512	 ||18	 || 161.88
512	 ||20	 || 153.64
512	 ||22	 || 156.02
512	 ||24	 || 159.27
512	 ||26	 || 165.44
512	 ||28	 || 173.08
512	 ||30	 || 152.25
512	 ||32	 || 160.93
512	 ||34	 || 151.61
512	 ||36	 || 152.40

-----------------------------------------------------
1024	 ||2	 || 5912.78
1024	 ||4	 || 2395.47
1024	 ||6	 || 1041.81
1024	 ||8	 || 1041.06
1024	 ||10	 || 622.00
1024	 ||12	 || 627.65
1024	 ||14	 || 636.75
1024	 ||16	 || 628.95
1024	 ||18	 || 555.33
1024	 ||20	 || 542.05
1024	 ||22	 || 542.99
1024	 ||24	 || 546.61
1024	 ||26	 || 603.55
1024	 ||28	 || 540.64
1024	 ||30	 || 540.52
1024	 ||32	 || 545.59
1024	 ||34	 || 547.92
1024	 ||36	 || 621.77

-----------------------------------------------------
2048	 ||2	 || 18062.43
2048	 ||4	 || 7326.35
2048	 ||6	 || 3337.85
2048	 ||8	 || 3367.26
2048	 ||10	 || 2102.90
2048	 ||12	 || 2143.56
2048	 ||14	 || 2104.10
2048	 ||16	 || 2100.94
2048	 ||18	 || 1920.00
2048	 ||20	 || 1920.46
2048	 ||22	 || 1920.42
2048	 ||24	 || 1923.36
2048	 ||26	 || 1937.91
2048	 ||28	 || 1917.61
2048	 ||30	 || 1932.68
2048	 ||32	 || 2160.49
2048	 ||34	 || 2360.96
2048	 ||36	 || 2420.99

-----------------------------------------------------
4096	 ||2	 || 56437.27
4096	 ||4	 || 23488.72
4096	 ||6	 || 11129.20
4096	 ||8	 || 11166.15
4096	 ||10	 || 7234.43
4096	 ||12	 || 7282.48
4096	 ||14	 || 7253.41
4096	 ||16	 || 7317.48
4096	 ||18	 || 6595.69
4096	 ||20	 || 6436.90
4096	 ||22	 || 6481.17
4096	 ||24	 || 6452.06
4096	 ||26	 || 6507.96
4096	 ||28	 || 6434.98
4096	 ||30	 || 6415.96
4096	 ||32	 || 6444.75
4096	 ||34	 || 7783.62
4096	 ||36	 || 7823.37

-----------------------------------------------------
8192	 ||2	 || 167129.80
8192	 ||4	 || 71300.27
8192	 ||6	 || 34146.67
8192	 ||8	 || 35278.29
8192	 ||10	 || 23384.74
8192	 ||12	 || 23351.30
8192	 ||14	 || 33734.55
8192	 ||16	 || 32662.36
8192	 ||18	 || 19794.20
8192	 ||20	 || 19833.44
8192	 ||22	 || 19945.53
8192	 ||24	 || 19893.74
8192	 ||26	 || 20140.39
8192	 ||28	 || 20629.94
8192	 ||30	 || 20171.91
8192	 ||32	 || 20002.48
8192	 ||34	 || 22735.29
8192	 ||36	 || 22883.59

-----------------------------------------------------

-----------------------------------------------------

 nBits	 || l	 || hacl-sqr
32	 ||2	 || 42.20
32	 ||4	 || 43.26
32	 ||6	 || 42.81
32	 ||8	 || 49.67
32	 ||10	 || 42.84
32	 ||12	 || 43.48
32	 ||14	 || 49.31
32	 ||16	 || 50.43
32	 ||18	 || 43.00
32	 ||20	 || 43.95
32	 ||22	 || 44.75
32	 ||24	 || 44.05
32	 ||26	 || 41.36
32	 ||28	 || 42.95
32	 ||30	 || 42.20
32	 ||32	 || 49.10
32	 ||34	 || 46.94
32	 ||36	 || 43.05

-----------------------------------------------------
64	 ||2	 || 42.51
64	 ||4	 || 44.02
64	 ||6	 || 42.53
64	 ||8	 || 43.17
64	 ||10	 || 41.57
64	 ||12	 || 53.52
64	 ||14	 || 51.57
64	 ||16	 || 43.57
64	 ||18	 || 42.99
64	 ||20	 || 45.33
64	 ||22	 || 42.16
64	 ||24	 || 77.41
64	 ||26	 || 43.34
64	 ||28	 || 45.00
64	 ||30	 || 46.87
64	 ||32	 || 43.40
64	 ||34	 || 42.42
64	 ||36	 || 44.46

-----------------------------------------------------
128	 ||2	 || 179.91
128	 ||4	 || 54.75
128	 ||6	 || 49.50
128	 ||8	 || 47.29
128	 ||10	 || 50.71
128	 ||12	 || 47.24
128	 ||14	 || 48.48
128	 ||16	 || 50.33
128	 ||18	 || 51.51
128	 ||20	 || 48.44
128	 ||22	 || 46.67
128	 ||24	 || 48.45
128	 ||26	 || 49.90
128	 ||28	 || 47.68
128	 ||30	 || 50.06
128	 ||32	 || 54.74
128	 ||34	 || 58.23
128	 ||36	 || 48.79

-----------------------------------------------------
256	 ||2	 || 607.90
256	 ||4	 || 203.70
256	 ||6	 || 87.17
256	 ||8	 || 85.24
256	 ||10	 || 92.36
256	 ||12	 || 85.19
256	 ||14	 || 88.06
256	 ||16	 || 85.80
256	 ||18	 || 87.81
