                512             1024            2048            3072            4096            6144            8192            16384
    openssl	148110.00	988378.00	7917258.00	23752058.00	61532326.00	220154520.00	453546990.00	3323520316.00
openssl_no_mulx	199178.00	955200.00	12410614.00	39148540.00	100667456.00	343217332.00	798816762.00	5423618470.00
  openssl_c	1104614.00	7630786.00	46750250.00	131055910.00	353730626.00	1005633658.00	2059753286.00	14574519582.00
        gmp	217572.00	1268942.00	22185222.00	33136332.00	78772918.00	237044054.00	513153186.00	4030789220.00
      gmp_c	934328.00	7897822.00	54570902.00	167430020.00	536537756.00	1702953430.00	3391154112.00	27496925588.00
    hacl_fw	475844.00	2558786.00	19471902.00	57284990.00	138610458.00	429549750.00	919462742.00	6877521672.00
    hacl_bm	642060.00	4178752.00	30165740.00	94570916.00	261032822.00	722619852.00	1509210230.00	11355861576.00


================================
                2048            3072            4096            6144            8192            16384
    openssl	7849528.00	21889156.00	53157534.00	175429774.00	417283434.00	3319478364.00
openssl_no_mulx	11132574.00	35645284.00	86007490.00	287902054.00	679589890.00	5420679178.00
  openssl_c	43176824.00	115205666.00	289161588.00	853832958.00	1911027720.00	13809020496.00
        gmp	8494310.00	28216882.00	71761740.00	220125290.00	513490918.00	3946347598.00
      gmp_c	52790592.00	157280138.00	440762708.00	1437644554.00	3398432670.00	27199777430.00
    hacl_fw	16946998.00	57323366.00	125346538.00	395281888.00	915019078.00	6804520798.00
    hacl_bm	27071052.00	87845810.00	206858300.00	659138128.00	1509018758.00	11119006376.00


openssl_no_mulx/openssl  1.418248 1.628445 1.617974 1.641124 1.628605 1.632991
hacl_fw/openssl_no_mulx  1.522289 1.608161 1.457391 1.372973 1.346428 1.255289
hacl_fw/openssl          2.158983 2.618802 2.358020 2.253220 2.192800 2.049877
hacl_bm/hacl_fw          1.597395 1.532461 1.650291 1.667514 1.649166 1.634062
gmp/openssl              1.082143 1.289080 1.349982 1.254777 1.230557 1.188846
gmp_c/openssl_c          1.222660 1.365212 1.524278 1.683754 1.778327 1.969711
openssl_c/hacl_fw        2.547756 2.009751 2.306897 2.160061 2.088511 2.029389
